XP repartie par niveau
    F  H  R  E
1:  10 10 10 10
2:  10 11 10 10
3:  11 12 10 10
4:  11 13 10 10
5:  12 13 10 10
6:  12 14 10 10
7:  12 15 10 10
8:  13 15 10 10
9:  13 16 10 10
10: 14 16 10 10
11: 14 17 10 10
12: 14 18 10 10
13: 15 18 10 10
14: 15 19 10 10
15: 15 20 10 10
16: 16 20 10 10
17: 17 20 10 10
18: 18 20 10 10
19: 19 20 10 10
20: 20 20 10 10
21: 20 21 10 10
22: 20 22 10 10
23: 20 23 10 10
24: 20 24 10 10
25: 20 25 10 10
26: 10 10 10 10
27: 10 10 10 10
28: 10 10 10 10
29: 10 10 10 10
30: 10 10 10 10
